Date       | Ranbyus DGA        | Mirai Base   | Mirai DGA

2016-12-04 | vmdefmnsndojtu.tw  | vmdefmnsndoj | vmdefmnsndoj.tech
2016-12-05 | xpknpxmywqsrce.net | xpknpxmywqsr | xpknpxmywqsr.support
2016-12-06 | lvfjcwwobycjik.com | lvfjcwwobycj | -
2016-12-07 | nympompksmfxsf.pw  | nympompksmfx | -
2016-12-08 | kedbuffigfjsfq.in  | kedbuffigfjs | kedbuffigfjs.online
2016-12-09 | pjapobyvmsnesx.me  | pjapobyvmsne | pjapobyvmsne.support
2016-12-10 | gjnhvqeopqkjjf.cc  | gjnhvqeopqkj | -
2016-12-11 | lokwpdhjqhcvtn.su  | lokwpdhjqhcv | -
2016-12-12 | frwhojupdcrcat.tw  | frwhojupdcrc | -
2016-12-13 | hufuhuerwgsigx.net | hufuhuerwgsi | -
2016-12-14 | bwhrdaumwuvnrb.com | bwhrdaumwuvn | bwhrdaumwuvn.support
2016-12-15 | daldkougomttqb.pw  | daldkougomtt | -
2016-12-16 | gjuyvvwwmbwvdn.in  | gjuyvvwwmbwv | -
2016-12-17 | lgigrtmnssejtd.me  | lgigrtmnssej | -
2016-12-18 | vsuuqkqbavvaiu.cc  | vsuuqkqbavva | -
2016-12-19 | bpmsfckfkrprom.su  | bpmsfckfkrpr | bpmsfckfkrpr.support
2016-12-20 | oornsduuwjlifv.tw  | oornsduuwjli | oornsduuwjli.tech
2016-12-21 | qjqubpciajocbs.net | qjqubpciajoc | qjqubpciajoc.tech
2016-12-22 | exvdaajegjuror.com | exvdaajegjur | exvdaajegjur.support
2016-12-23 | gsqvwjkbmwadex.pw  | gsqvwjkbmwad | -
2016-12-24 | poorcetnmjfchv.in  | poorcetnmjfc | poorcetnmjfc.online
2016-12-25 | ulficqrujekplt.me  | ulficqrujekp | ulficqrujekp.support
2016-12-26 | ltwehsdfhkegkh.cc  | ltwehsdfhkeg | -
2016-12-27 | qqnbfqrdjyjkqb.su  | qqnbfqrdjyjk | qqnbfqrdjyjk.support
2016-12-28 | xtldkfvredxhll.tw  | xtldkfvredxh | -
2016-12-29 | aojpocslpwsuik.net | aojpocslpwsu | aojpocslpwsu.support
2016-12-30 | tyxdowioaygktb.com | tyxdowioaygk | -
2016-12-31 | vtrndmhsgadage.pw  | vtrndmhsgada | vtrndmhsgada.online
2017-01-01 | nmrawjqbdgxijv.me  | nmrawjqbdgxi | nmrawjqbdgxi.tech
2017-01-02 | sefdjnmvctwvgm.cc  | sefdjnmvctwv | sefdjnmvctwv.tech
2017-01-03 | xvbjiesvgeuydj.su  | xvbjiesvgeuy | -
2017-01-04 | divitpvjexxhcm.tw  | divitpvjexxh | divitpvjexxh.tech
2017-01-05 | fxdgbaifiqhsoa.net | fxdgbaifiqhs | fxdgbaifiqhs.support
2017-01-06 | nrfvhsscnftjvb.com | nrfvhsscnftj | -
2017-01-07 | phmdjuhvelmtko.pw  | phmdjuhvelmt | -
2017-01-08 | xvrvdsuhphjgup.in  | xvrvdsuhphjg | xvrvdsuhphjg.online
2017-01-09 | dnoxhnhyghqqsi.me  | dnoxhnhyghqq | dnoxhnhyghqq.support
2017-01-10 | cbjhhdxqjmyito.cc  | cbjhhdxqjmyi | -
2017-01-11 | hsgtumdxlvkbpa.su  | hsgtumdxlvkb | -
2017-01-12 | sjrlfmxjcieefw.tw  | sjrlfmxjciee | -
2017-01-13 | uyanaitirraqxa.net | uyanaitirraq | -
2017-01-14 | wojeohsgfspeeq.com | wojeohsgfspe | wojeohsgfspe.support
2017-01-15 | yenttwqqffxrfk.pw  | yenttwqqffxr | -
2017-01-16 | nfngxrujtygkjt.in  | nfngxrujtygk | -
2017-01-17 | sobbmslxsdptym.me  | sobbmslxsdpt | -
2017-01-18 | xouiaadprongwl.cc  | xouiaadprong | -
2017-01-19 | dxmgamuevfjyrq.su  | dxmgamuevfjy | dxmgamuevfjy.support
2017-01-20 | vkefdmrksckevs.tw  | vkefdmrkscke | vkefdmrkscke.tech
2017-01-21 | xrdbvxyjxhcamb.net | xrdbvxyjxhca | xrdbvxyjxhca.tech
2017-01-22 | gtpcnqcfvqpqdb.com | gtpcnqcfvqpq | gtpcnqcfvqpq.support
2017-01-23 | ibkvejvugospod.pw  | ibkvejvugosp | -
2017-01-24 | dgjyfmrensrogt.in  | dgjyfmrensro | dgjyfmrensro.online
2017-01-25 | ipaactrwlvcynh.me  | ipaactrwlvcy | ipaactrwlvcy.support
2017-01-26 | hlyrlnwnrjvdnf.cc  | hlyrlnwnrjvd | -
2017-01-27 | mupopplhsleaan.su  | mupopplhslea | mupopplhslea.support
2017-01-28 | llaufyutthnjbc.tw  | llaufyutthnj | -
2017-01-29 | nsxylkawrdaerh.net | nsxylkawrdae | nsxylkawrdae.support
2017-01-30 | pqtcvgcteykeaj.com | pqtcvgcteyke | -
2017-01-31 | rxnnrlhegisnjv.pw  | rxnnrlhegisn | rxnnrlhegisn.online
2017-02-01 | brrgceodumxkhb.me  | brrgceodumxk | brrgceodumxk.tech
2017-02-02 | nvgabbhltodwin.cc  | nvgabbhltodw | nvgabbhltodw.tech
2017-02-03 | lbqkwcwshsrxhm.su  | lbqkwcwshsrx | -
2017-02-04 | xavvbgniayqgwy.tw  | xavvbgniayqg | xavvbgniayqg.tech
2017-02-05 | sdoplblbefwmfn.net | sdoplblbefwm | sdoplblbefwm.support
2017-02-06 | ijuatehkdmqsvm.com | ijuatehkdmqs | -
2017-02-07 | dmndjnehgrnptp.pw  | dmndjnehgrnp | -
2017-02-08 | snkuuboupqsxan.in  | snkuuboupqsx | snkuuboupqsx.online
2017-02-09 | qsvswidnhxqfme.me  | qsvswidnhxqf | qsvswidnhxqf.support
2017-02-10 | wsxpdjbhedlwso.cc  | wsxpdjbhedlw | -
2017-02-11 | uxjbparaithbxa.su  | uxjbparaithb | -
2017-02-12 | nbynemoeeelbfu.tw  | nbynemoeeelb | -
2017-02-13 | iestebuwfamnay.net | iestebuwfamn | -
